field,n,pseudo_minus_human_mean,mae,rmse,exact_match_with_rounded_human_mean_percent,within_human_score_range_percent,ks_pseudo_vs_matched_human,ks_matched_human_vs_full_human
soundness,175,0.0802857142857143,0.21780952380952381,0.2869350902760867,87.42857142857143,100.0,0.42857142857142855,0.0415085498006173
presentation,175,0.01104761904761905,0.23942857142857146,0.31440546059315455,83.42857142857143,100.0,0.3142857142857143,0.049520805641291354
significance,175,0.14266666666666666,0.2801904761904762,0.34294244970479204,78.85714285714286,100.0,0.5428571428571428,0.024032261698245017
originality,175,0.05933333333333333,0.24733333333333335,0.31476622718738073,89.71428571428571,100.0,0.4285714285714286,0.06684479689999323
overall_recommendation,175,0.006952380952380958,0.24352380952380953,0.32211848357447215,89.71428571428571,100.0,0.36,0.0519170027260234
confidence,175,0.5070476190476191,0.5375238095238095,0.6410259633698823,60.0,94.85714285714286,0.8457142857142858,0.05406808299727406
